5 24 11.9 -7.1 -7.8 7.9 -8.2 -5.8 8.2 -7 -8.2 11.2 -8.2 -5.1
5 24 8.2 -7 -8.2 9.1 -4.7 -9.5 5.5 -4.7 -8.1 11.9 -7.1 -7.8
5 24 9.2 -15.9 1.3 10.5 -21.6 2.5 10.9 -15.9 2.9 9 -21.7 1
5 24 11.3 -15.9 5.2 10.9 -21.8 4.7 10.9 -15.9 2.9 10.4 -22 6.9
5 24 12 -11.3 5.3 11.4 -11.4 8.2 12.9 -9.6 5 11.3 -15.9 5.2
5 24 11.2 -6.9 11.4 11.2 -4.7 11.9 14.3 -4.7 9.5 8.1 -6.9 12.9
5 24 1.95 -8.95 8.85 2.2 -11.5 8.4 1.65 -9.05 6.4 3.4 -11.7 10.5
5 24 5.2 -22.8 9.4 5.2 -26.8 8.4 3.5 -27.4 7.9 7.3 -22.7 9.4
5 24 10.9 -28.6 3.8 10.4 -32.3 5.7 11.1 -32.2 3.3 10.1 -28.7 5.9
5 24 17.9 -3.3 5.2 18.6 -4.8 1.3 17.3 -4.7 5.6 18.9 -3.3 .9
5 24 5.4 -3.3 13.9 2.7 -3.3 12.7 5.4 0 13.9 2.8 -4.6 12.7
5 24 5.4 -11.7 11.6 3.4 -11.7 10.5 3.15 -9.05 11.25 5.3 -16.3 10.8
5 24 11.2 -4.7 11.9 8.1 -6.9 12.9 8.2 -4.7 13.4 11.2 -6.9 11.4
5 24 3.5 -27.4 7.9 5.2 -22.8 9.4 5.2 -26.8 8.4 3.5 -22.9 8.6
5 24 5.3 -27.9 8.1 7.1 -26.4 8.3 7.1 -28.3 8 5.2 -26.8 8.4
5 24 9.9 -11.5 10.3 10.65 -9.2 10.6 7.75 -9.05 12.1 12.3 -9.15 8.5
5 24 9.9 -11.5 10.3 12.3 -9.15 8.5 11.4 -11.4 8.2 10.65 -9.2 10.6
5 24 3 -11.3 1.8 3.3 -15.9 2 2.1 -16.1 3.8 5.1 -11.3 .4
5 24 3.2 -27.7 .8 1.8 -28.1 2.9 3 -29.3 .7 2.1 -23 3.5
5 24 1.65 -9.1 4.2 1.3 -6.8 4.2 1.4 -6.8 1.2 1.65 -9.05 6.4
5 24 5.1 -10 -.4 3.8 -8.7 -1.7 7.2 -9.2 -2 2.6 -9.7 1.4
5 24 9.5 -16.2 9.7 11.4 -11.4 8.2 10.7 -16 7.8 9.9 -11.5 10.3
5 24 3.4 -16.3 9.7 2.3 -23 7.3 2.3 -16.2 8 3.5 -22.9 8.6
5 24 1.6 -4.6 10.2 2.9 -6.9 12.1 1.7 -6.8 9.7 2.8 -4.6 12.7
5 24 3.15 -9.05 11.25 5.35 -9.05 12.35 2.9 -6.9 12.1 5.4 -11.7 11.6
5 24 1.8 -29.7 7.3 2.2 -28 6.8 3.5 -27.4 7.9 .8 -29.1 5.3
5 24 9.4 -28.1 -.1 10.7 -28.4 1.6 11 -32.2 .9 9 -25.5 .5
5 24 10.5 -21.6 2.5 9 -21.7 1 10.6 -25.2 2.1 9.2 -15.9 1.3
5 24 9.2 -15.9 1.3 10.9 -15.9 2.9 11.4 -11.4 2.3 10.5 -21.6 2.5
5 24 14 -8.7 4.9 12.5 -9.2 1.3 15 -8.4 1.3 12.9 -9.6 5
5 24 7.5 -8.8 -3.8 6 -8.2 -5.2 4.7 -8.3 -4 7.9 -8.2 -5.8
5 24 8.2 -4.7 13.4 5.4 -4.6 13.7 5.4 -3.3 13.9 8.1 -6.9 12.9
5 24 4.7 -30 -.9 3 -29.3 .7 3.2 -27.7 .8 2.3 -30 0
5 24 8.2 -4.7 13.4 9.3 -3.3 13 5.4 -3.3 13.9 11.2 -4.7 11.9
5 24 10.9 -15.9 2.9 12 -11.3 5.3 11.4 -11.4 2.3 11.3 -15.9 5.2
5 24 14.3 -4.7 9.5 14.2 -3.3 9.8 17.9 -3.3 5.2 11.2 -4.7 11.9
5 24 3.4 -11.7 10.5 2.2 -11.5 8.4 3.4 -16.3 9.7 1.95 -8.95 8.85
5 24 3.5 -27.4 7.9 5.2 -26.8 8.4 5.2 -22.8 9.4 5.3 -27.9 8.1
5 24 7.9 -8.2 -5.8 8.2 -7 -8.2 11.9 -7.1 -7.8 6 -8.2 -5.2
5 24 5.1 -22.2 .7 3.4 -22.6 1.7 5.1 -26.9 -.2 3.3 -15.9 2
5 24 2.8 -3.3 -5.6 6 -3.3 -8.7 2.8 0 -5.6 5.5 -4.7 -8.1
5 24 14.2 -3.3 9.8 11.2 -4.7 11.9 9.3 -3.3 13 14.3 -4.7 9.5
5 24 10.4 -22 6.9 10.9 -21.8 4.7 11.3 -15.9 5.2 10.1 -25.5 6.3
5 24 2.6 -9.7 1.4 3 -11.3 1.8 5.1 -11.3 .4 1.9 -11.4 4.1
5 24 1.9 -11.4 4.1 2.6 -9.7 1.4 3 -11.3 1.8 1.65 -9.1 4.2
5 24 9 -21.7 1 7 -21.8 .4 9 -25.5 .5 7.2 -15.9 .6
5 24 11.2 -4.7 11.9 8.2 -4.7 13.4 9.3 -3.3 13 8.1 -6.9 12.9
5 24 7.3 -22.7 9.4 5.3 -16.3 10.8 5.2 -22.8 9.4 7.4 -16.3 10.8
5 24 1.9 -16.1 5.7 1.8 -23.1 5.3 2.3 -16.2 8 2.1 -16.1 3.8
5 24 7.1 -26.1 -.4 7 -21.8 .4 9 -25.5 .5 5.1 -22.2 .7
5 24 1.65 -9.05 6.4 1.95 -8.95 8.85 2.2 -11.5 8.4 1.3 -6.8 6.9
5 24 6 -3.3 -8.7 10 -3.3 -9.7 9.1 -4.7 -9.5 6 0 -8.7
5 24 2.1 -16.1 3.8 3 -11.3 1.8 1.9 -11.4 4.1 3.3 -15.9 2
5 24 5.35 -9.05 12.35 5.4 -11.7 11.6 3.15 -9.05 11.25 7.5 -11.6 11.5
5 24 5.1 -11.3 .4 3 -11.3 1.8 2.6 -9.7 1.4 3.3 -15.9 2
5 24 7.5 -8.8 -3.8 11.2 -8.2 -5.1 10.7 -8.8 -2.9 7.9 -8.2 -5.8
5 24 7.1 -26.4 8.3 8.8 -25.8 7.7 7.3 -22.7 9.4 7.1 -28.3 8
5 24 14.2 -3.3 9.8 9.3 -3.3 13 14.2 0 9.8 11.2 -4.7 11.9
5 24 15.9 -6.9 5.9 13.8 -6.9 9.1 17.3 -4.7 5.6 12.3 -9.15 8.5
5 24 1.95 -8.95 8.85 3.15 -9.05 11.25 1.7 -6.8 9.7 3.4 -11.7 10.5
5 24 10.5 -21.6 2.5 10.8 -25.4 4.3 10.6 -25.2 2.1 10.9 -21.8 4.7
5 24 15.2 -7 -5.5 16.4 -4.8 -6.3 18.2 -4.8 -3 13.4 -4.8 -8.8
5 24 14 -8.7 4.9 15.9 -6.9 5.9 12.3 -9.15 8.5 17.3 -7 2.1
5 24 12.5 -9.2 1.3 12.9 -9.6 5 14 -8.7 4.9 12 -9.9 2
5 24 .8 -29.1 5.3 1.8 -28.1 2.9 1 -29.4 2.4 1.6 -27.9 5
5 24 8.2 -7 -8.2 11.9 -7.1 -7.8 9.1 -4.7 -9.5 7.9 -8.2 -5.8
5 24 12 -11.3 5.3 11.3 -15.9 5.2 11.4 -11.4 8.2 10.9 -15.9 2.9
5 24 7.3 -11.3 -.1 5.1 -11.3 .4 5.1 -10 -.4 5 -15.9 .9
5 24 9.8 -10.2 -.1 9.5 -11.5 .6 7.3 -11.3 -.1 11.4 -11.4 2.3
5 24 9.8 -10.2 -.1 12 -9.9 2 12.5 -9.2 1.3 11.4 -11.4 2.3
5 24 2.3 -23 7.3 2.2 -28 6.8 3.5 -22.9 8.6 1.6 -27.9 5
5 24 4.7 -30 -.9 5.1 -26.9 -.2 3.2 -27.7 .8 7.2 -30.9 -1.8
5 24 3 -29.3 .7 1.8 -28.1 2.9 3.2 -27.7 .8 1 -29.4 2.4
5 24 7.4 -16.3 10.8 7.3 -22.7 9.4 9.2 -22.3 8.6 5.3 -16.3 10.8
5 24 15.2 -7 -5.5 11.2 -8.2 -5.1 14.2 -8.1 -3.1 11.9 -7.1 -7.8
5 24 5.2 -31.3 8.3 7.1 -28.3 8 7.3 -31.9 8.3 5.3 -27.9 8.1
5 24 5.1 -26.9 -.2 7.1 -27.9 -.8 7.2 -30.9 -1.8 7.1 -26.1 -.4
5 24 10.7 -28.4 1.6 9 -25.5 .5 9.4 -28.1 -.1 10.6 -25.2 2.1
5 24 12.3 -9.15 8.5 13.8 -6.9 9.1 15.9 -6.9 5.9 10.65 -9.2 10.6
5 24 5 -15.9 .9 7.3 -11.3 -.1 7.2 -15.9 .6 5.1 -11.3 .4
5 24 7.2 -15.9 .6 7 -21.8 .4 9 -21.7 1 5 -15.9 .9
5 24 16.4 -4.8 -6.3 18.2 -4.8 -3 18.4 -3.3 -3 15.2 -7 -5.5
5 24 17.9 -3.3 5.2 14.3 -4.7 9.5 14.2 -3.3 9.8 17.3 -4.7 5.6
5 24 11.1 -32.2 3.3 10.9 -28.6 3.8 10.7 -28.4 1.6 10.4 -32.3 5.7
5 24 12 -11.3 5.3 12 -9.9 2 11.4 -11.4 2.3 12.9 -9.6 5
5 24 10.4 -22 6.9 10.7 -16 7.8 9.2 -22.3 8.6 11.3 -15.9 5.2
5 24 12 -11.3 5.3 12.9 -9.6 5 11.4 -11.4 8.2 12 -9.9 2
5 24 1.1 -4.6 4.6 1.2 -4.6 1.3 1 -3.3 1.6 1.3 -6.8 4.2
5 24 3.5 -27.4 7.9 3.5 -30.7 8.4 1.8 -29.7 7.3 5.3 -27.9 8.1
5 24 18.6 -4.8 1.3 18.9 -3.3 .9 17.9 -3.3 5.2 18.2 -4.8 -3
5 24 17 -7 -2.2 14.2 -8.1 -3.1 15.3 -8 -1.4 15.2 -7 -5.5
5 24 2.9 -6.9 12.1 5.35 -9.05 12.35 3.15 -9.05 11.25 5.3 -6.9 13.2
5 24 1 -3.3 1.6 1.7 -4.6 -1.8 1.3 -3.3 -1.2 1.2 -4.6 1.3
5 24 12 -9.9 2 11.4 -11.4 2.3 9.8 -10.2 -.1 12 -11.3 5.3
5 24 3 -29.3 .7 3.2 -27.7 .8 4.7 -30 -.9 1.8 -28.1 2.9
5 24 3 -29.3 .7 2.3 -30 0 4.7 -30 -.9 1 -29.4 2.4
5 24 3.5 -6.8 -5.1 3.1 -4.7 -5.6 5.2 -6.8 -7 1.7 -4.6 -1.8
5 24 3.2 -27.7 .8 2.1 -23 3.5 1.8 -28.1 2.9 3.4 -22.6 1.7
5 24 1.4 -6.8 1.2 1.2 -4.6 1.3 1.7 -4.6 -1.8 1.3 -6.8 4.2
5 24 1.65 -9.05 6.4 1.3 -6.8 6.9 1.3 -6.8 4.2 1.95 -8.95 8.85
5 24 1.9 -16.1 5.7 2.1 -16.1 3.8 1.9 -11.4 4.1 1.8 -23.1 5.3
5 24 2.3 -23 7.3 3.5 -22.9 8.6 3.4 -16.3 9.7 2.2 -28 6.8
5 24 1.8 -23.1 5.3 2.3 -23 7.3 1.6 -27.9 5 2.3 -16.2 8
5 24 2.2 -6.9 -2.4 4.7 -8.3 -4 3.5 -6.8 -5.1 3.8 -8.7 -1.7
5 24 8.1 -6.9 12.9 7.75 -9.05 12.1 5.3 -6.9 13.2 10.65 -9.2 10.6
5 24 2.1 -8.5 1.2 1.65 -9.1 4.2 2.6 -9.7 1.4 1.4 -6.8 1.2
5 24 9.7 -32 -1 9.4 -28.1 -.1 7.2 -30.9 -1.8 11 -32.2 .9
5 24 8.8 -25.8 7.7 8.7 -28.6 7.3 7.1 -28.3 8 10.1 -25.5 6.3
5 24 13.8 -6.9 9.1 14.3 -4.7 9.5 17.3 -4.7 5.6 11.2 -6.9 11.4
5 24 2.2 -28 6.8 3.5 -22.9 8.6 3.5 -27.4 7.9 2.3 -23 7.3
5 24 7.9 -8.2 -5.8 7.5 -8.8 -3.8 6 -8.2 -5.2 11.2 -8.2 -5.1
5 24 18.2 -4.8 -3 18.6 -4.8 1.3 18.9 -3.3 .9 17 -7 -2.2
5 24 9.8 -10.2 -.1 10.2 -9.2 -1.1 12.5 -9.2 1.3 7.4 -10.3 -.8
5 24 1 -3.3 7 1.1 -4.6 4.6 1.2 -4.6 7.4 1 -3.3 1.6
5 24 8.7 -28.6 7.3 7.1 -28.3 8 7.3 -31.9 8.3 8.8 -25.8 7.7
5 24 7.1 -26.1 -.4 9.4 -28.1 -.1 9 -25.5 .5 7.1 -27.9 -.8
5 24 7.1 -26.1 -.4 5.1 -26.9 -.2 5.1 -22.2 .7 7.1 -27.9 -.8
5 24 15 -8.4 1.3 15.3 -8 -1.4 13.5 -8.6 -1.1 17.3 -7 2.1
5 24 10.7 -16 7.8 9.2 -22.3 8.6 9.5 -16.2 9.7 10.4 -22 6.9
5 24 9.9 -11.5 10.3 7.5 -11.6 11.5 7.75 -9.05 12.1 9.5 -16.2 9.7
5 24 14.2 -8.1 -3.1 15.2 -7 -5.5 17 -7 -2.2 11.2 -8.2 -5.1
5 24 3.8 -8.7 -1.7 2.2 -6.9 -2.4 2.1 -8.5 1.2 4.7 -8.3 -4
5 24 1.2 -4.6 7.4 1 -3.3 7 1.6 -4.6 10.2 1.1 -4.6 4.6
5 24 1.6 -4.6 10.2 1.2 -4.6 7.4 1.7 -6.8 9.7 1 -3.3 7
5 24 13.7 -3.3 -8.8 16.4 -4.8 -6.3 16.6 -3.3 -6.3 13.4 -4.8 -8.8
5 24 1.95 -8.95 8.85 1.7 -6.8 9.7 1.3 -6.8 6.9 3.15 -9.05 11.25
5 24 8.8 -25.8 7.7 10.1 -25.5 6.3 9.2 -22.3 8.6 8.7 -28.6 7.3
5 24 9.5 -16.2 9.7 7.5 -11.6 11.5 9.9 -11.5 10.3 7.4 -16.3 10.8
5 24 2.1 -8.5 1.2 1.4 -6.8 1.2 2.2 -6.9 -2.4 1.65 -9.1 4.2
5 24 2.2 -28 6.8 .8 -29.1 5.3 1.6 -27.9 5 1.8 -29.7 7.3
5 24 4.7 -8.3 -4 6 -8.2 -5.2 3.5 -6.8 -5.1 7.5 -8.8 -3.8
5 24 4.7 -8.3 -4 3.8 -8.7 -1.7 7.2 -9.2 -2 2.2 -6.9 -2.4
5 24 3.15 -9.05 11.25 2.9 -6.9 12.1 1.7 -6.8 9.7 5.35 -9.05 12.35
5 24 17.3 -4.7 5.6 17.3 -7 2.1 15.9 -6.9 5.9 18.6 -4.8 1.3
5 24 12.3 -9.15 8.5 11.4 -11.4 8.2 9.9 -11.5 10.3 12.9 -9.6 5
5 24 1.5 -3.3 10.2 2.7 -3.3 12.7 2.8 -4.6 12.7 1.5 0 10.2
5 24 5.1 -26.9 -.2 3.2 -27.7 .8 4.7 -30 -.9 3.4 -22.6 1.7
5 24 10.2 -9.2 -1.1 7.2 -9.2 -2 7.4 -10.3 -.8 10.7 -8.8 -2.9
5 24 9.1 -4.7 -9.5 13.4 -4.8 -8.8 10 -3.3 -9.7 11.9 -7.1 -7.8
5 24 9.8 -10.2 -.1 7.3 -11.3 -.1 9.5 -11.5 .6 7.4 -10.3 -.8
